trace_id,hop,hop_ip,rtt_ms,hop_asn,hop_prefix,hop_country,hop_asn_name,is_private,is_timeout
5,1,192.168.18.1,0.905,,,,RFC1918,True,False
5,2,100.89.32.1,2.706,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False
5,3,172.27.0.29,2.353,,,,RFC1918,True,False
5,4,172.27.0.22,2.503,,,,RFC1918,True,False
5,5,172.31.5.170,2.932,,,,RFC1918,True,False
5,6,110.93.202.134,22.558,,110.93.192.0/18,PK,TWA,False,False
5,7,110.93.252.84,22.412,,110.93.192.0/18,PK,TWA,False,False
5,8,110.93.252.201,39.783,,110.93.192.0/18,PK,TWA,False,False
5,9,110.93.197.229,39.718,38193.0,110.93.197.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
5,10,202.142.160.201,40.149,9260.0,202.142.160.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
5,11,125.209.73.226,40.723,9260.0,125.209.73.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
5,12,202.142.167.148,40.676,9260.0,202.142.167.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
10,1,192.168.18.1,1.078,,,,RFC1918,True,False
10,2,100.89.32.1,2.521,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False
10,3,172.27.0.29,2.942,,,,RFC1918,True,False
10,4,172.27.0.22,2.528,,,,RFC1918,True,False
10,5,172.31.5.170,2.773,,,,RFC1918,True,False
10,6,110.93.202.134,22.365,,110.93.192.0/18,PK,TWA,False,False
10,7,110.93.252.84,22.364,,110.93.192.0/18,PK,TWA,False,False
10,8,110.93.252.201,39.956,,110.93.192.0/18,PK,TWA,False,False
10,9,110.93.197.229,40.509,38193.0,110.93.197.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
10,10,202.142.160.201,40.195,9260.0,202.142.160.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
10,11,125.209.73.226,40.697,9260.0,125.209.73.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
10,12,202.142.167.148,40.4,9260.0,202.142.167.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
15,1,192.168.18.1,1.239,,,,RFC1918,True,False
15,2,100.89.32.1,2.688,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False
15,3,172.27.0.29,2.913,,,,RFC1918,True,False
15,4,172.27.0.22,2.876,,,,RFC1918,True,False
15,5,172.31.5.170,2.843,,,,RFC1918,True,False
15,6,110.93.202.134,22.807,,110.93.192.0/18,PK,TWA,False,False
15,7,110.93.252.84,22.503,,110.93.192.0/18,PK,TWA,False,False
15,8,110.93.252.201,39.553,,110.93.192.0/18,PK,TWA,False,False
15,9,110.93.197.229,40.518,38193.0,110.93.197.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
15,10,202.142.160.201,40.319,9260.0,202.142.160.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
15,11,125.209.73.226,40.455,9260.0,125.209.73.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
15,12,202.142.167.148,40.493,9260.0,202.142.167.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
20,1,192.168.18.1,1.021,,,,RFC1918,True,False
20,2,100.89.32.1,2.843,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False
20,3,172.27.0.29,2.982,,,,RFC1918,True,False
20,4,172.27.0.22,2.773,,,,RFC1918,True,False
20,5,172.31.5.170,3.163,,,,RFC1918,True,False
20,6,110.93.202.134,22.303,,110.93.192.0/18,PK,TWA,False,False
20,7,110.93.252.84,22.338,,110.93.192.0/18,PK,TWA,False,False
20,8,110.93.252.201,39.545,,110.93.192.0/18,PK,TWA,False,False
20,9,110.93.197.229,40.072,38193.0,110.93.197.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
20,10,202.142.160.201,40.266,9260.0,202.142.160.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
20,11,125.209.73.226,39.666,9260.0,125.209.73.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
20,12,202.142.167.148,40.464,9260.0,202.142.167.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
25,1,192.168.18.1,0.969,,,,RFC1918,True,False
25,2,100.89.32.1,2.542,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False
25,3,172.27.0.29,2.839,,,,RFC1918,True,False
25,4,172.27.0.22,2.438,,,,RFC1918,True,False
25,5,172.31.5.170,2.641,,,,RFC1918,True,False
25,6,110.93.202.134,22.496,,110.93.192.0/18,PK,TWA,False,False
25,7,110.93.252.84,22.146,,110.93.192.0/18,PK,TWA,False,False
25,8,110.93.252.201,39.786,,110.93.192.0/18,PK,TWA,False,False
25,9,110.93.197.229,40.065,38193.0,110.93.197.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
25,10,202.142.160.201,40.053,9260.0,202.142.160.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
25,11,125.209.73.226,40.244,9260.0,125.209.73.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
25,12,202.142.167.148,40.437,9260.0,202.142.167.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
30,1,192.168.18.1,1.18,,,,RFC1918,True,False
30,2,100.89.32.1,3.03,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False
30,3,172.27.0.29,3.028,,,,RFC1918,True,False
30,4,172.27.0.22,2.387,,,,RFC1918,True,False
30,5,172.31.5.170,3.025,,,,RFC1918,True,False
30,6,110.93.202.134,22.959,,110.93.192.0/18,PK,TWA,False,False
30,7,110.93.252.84,22.689,,110.93.192.0/18,PK,TWA,False,False
30,8,110.93.252.201,39.705,,110.93.192.0/18,PK,TWA,False,False
30,9,110.93.197.229,40.455,38193.0,110.93.197.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
30,10,202.142.160.201,40.305,9260.0,202.142.160.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
30,11,125.209.73.226,40.507,9260.0,125.209.73.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
30,12,202.142.167.148,40.417,9260.0,202.142.167.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
35,1,192.168.18.1,1.009,,,,RFC1918,True,False
35,2,100.89.32.1,3.009,,100.64.0.0/10,,SHARED-ADDRESS-SPACE-RFC6598-IANA-RESERVED,False,False
35,3,172.27.0.29,3.424,,,,RFC1918,True,False
35,4,172.27.0.22,2.315,,,,RFC1918,True,False
35,5,172.31.5.170,3.076,,,,RFC1918,True,False
35,6,110.93.202.134,22.502,,110.93.192.0/18,PK,TWA,False,False
35,7,110.93.252.84,22.16,,110.93.192.0/18,PK,TWA,False,False
35,8,110.93.252.201,39.611,,110.93.192.0/18,PK,TWA,False,False
35,9,110.93.197.229,39.931,38193.0,110.93.197.0/24,PK,"TWA-AS-AP - Transworld Associates (Pvt.) Ltd., PK",False,False
35,10,202.142.160.201,40.163,9260.0,202.142.160.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
35,11,125.209.73.226,40.141,9260.0,125.209.73.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
35,12,202.142.167.148,40.38,9260.0,202.142.167.0/24,PK,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",False,False
40,1,192.168.18.1,0.801,,,,RFC1918,True,False
